paper_slug,paper_title,level,year,session,section_type,section_title,question_group,question_no,sort_order,prompt,passage,transcript,option_1,option_2,option_3,option_4,answer,explanation,explanation_zh,score,source_question_no,paper_description,source_label,paper_tags,is_published
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,1,1,この国の人は <u>自然を</u> 大切にしている。,,,しぜん,じぜん,しせん,じせん,1,"(1)正解:1解析:这个国家的人重视自然。
1 . しぜん(自然):自然,未经过人工的                           2 . じ ぜ ん ( 事 前 ) : 事 前 , 事 先
3 . し せ ん ( 支 線 ) :  ( 铁 路 、 电 线 ) 支 线                        4 . じせん(自薦/自選) :自荐/自选","(1)正解:1解析:这个国家的人重视自然。
1 . しぜん(自然):自然,未经过人工的                           2 . じ ぜ ん ( 事 前 ) : 事 前 , 事 先
3 . し せ ん ( 支 線 ) :  ( 铁 路 、 电 线 ) 支 线                        4 . じせん(自薦/自選) :自荐/自选",1,1,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,2,2,あと30<u>秒</u>で完成します。,,,じょう,しょう,びよう,ひょう,3,"(2)正解:3解析:还有30秒完成。
1 . じ ょ う ( 上 ) : 上 等 ; 上 卷                                       2 . し ょ う ( 小 ) : 小 号 , 小 型
3 . び ょ う ( 秒 ) : 秒                                               4 . ひょう(豹)  : 豹 子","(2)正解:3解析:还有30秒完成。
1 . じ ょ う ( 上 ) : 上 等 ; 上 卷                                       2 . し ょ う ( 小 ) : 小 号 , 小 型
3 . び ょ う ( 秒 ) : 秒                                               4 . ひょう(豹)  : 豹 子",1,2,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,3,3,夏休みも<u>残り</u>三 日になってしまった。,,,もどり,おわり,のこり,あまり,3,"(3)正解:3解析:暑假只剩三天了。
1 . もどり(戻り):恢复原状,回家                                2 . おわり(終わり):结束
3 . の こ り ( 残 り ) : 残 余 , 剩 余                                       4 . あまり:剩余","(3)正解:3解析:暑假只剩三天了。
1 . もどり(戻り):恢复原状,回家                                2 . おわり(終わり):结束
3 . の こ り ( 残 り ) : 残 余 , 剩 余                                       4 . あまり:剩余",1,3,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,4,4,このグラフは、人口の<u>増滅</u><u>___</u>を表している。,,,ぞうけん,ぞうげん,じょうけん,じょうげん,2,"(4)正解:2解析:这个图表显示了人口的增减。
1.  うけん:干扰项                                               2.ぞうげん(     増滅)  :数量的増减
3. じょうけん(  条 件 ) : 条 件 , 条 款                                   4. じょうげん(      上 限 ) : 上 限","(4)正解:2解析:这个图表显示了人口的增减。
1.  うけん:干扰项                                               2.ぞうげん(     増滅)  :数量的増减
3. じょうけん(  条 件 ) : 条 件 , 条 款                                   4. じょうげん(      上 限 ) : 上 限",1,4,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,5,5,面接の結果は、1週間以内に<u>通知</u>します。,,,つうち,とおち,うし,とおし,1,"(5)正解:1解析:面试结果会在一周内通知。
1 . つうち(通知) : 通 知 , 告 知                                   2 . とおち(十市) :日本地名十市
3 . っうし(通史):通史                                           4 . とおし:大眼筛子","(5)正解:1解析:面试结果会在一周内通知。
1 . つうち(通知) : 通 知 , 告 知                                   2 . とおち(十市) :日本地名十市
3 . っうし(通史):通史                                           4 . とおし:大眼筛子",1,5,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,6,6,庭  に <u>生</u><u>___</u><u>え</u><u>___</u><u>た</u><u>___</u>草  に  き れ  い  な 花 が 咲  い  て  い  た  。,,,はえた,せいえた,しょうえた,うえた,1,"(6)正解:1解析:庭院里的草上开着美丽的花。
1 . はえた(生えた) : 生长,发芽                                  2 . せいえた:干扰项
3 . しょうえた:干扰项                                             4 . うえた(植えた) : 种 植","(6)正解:1解析:庭院里的草上开着美丽的花。
1 . はえた(生えた) : 生长,发芽                                  2 . せいえた:干扰项
3 . しょうえた:干扰项                                             4 . うえた(植えた) : 种 植",1,6,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,7,7,外国で一人暮らをしているので、国の料理が <u>恋しく</u>なる。,,,なつかしく,うれしく,ほしく,こいしく,4,"(7)正解:4解析:因为一个人在国外生活,所以很想念国家的料理。
1.なつかしく(  懐 し く ) : 令 人 怀 念 的 , 眷 恋                       2 . うれしく(嬉しく):快乐的,幸福的
3. ほしく(欲しく)  : 想 要 , 要                                 4 . こいしく(恋しい):怀念、想念；恋慕的,思慕的","(7)正解:4解析:因为一个人在国外生活,所以很想念国家的料理。
1.なつかしく(  懐 し く ) : 令 人 怀 念 的 , 眷 恋                       2 . うれしく(嬉しく):快乐的,幸福的
3. ほしく(欲しく)  : 想 要 , 要                                 4 . こいしく(恋しい):怀念、想念；恋慕的,思慕的",1,7,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,8,8,これを<u>郵</u><u>送</u>してください。,,,ほそう,ほうそう,ゆそう,ゆうそう,4,"(8)正解:4解析:请邮寄 一 下这个。
1. ほそう(繡 装 ) : 铺 路 , 铺 装                                    2. ほうそう(包 装 ) : 包 装
3 . ゆ そ う ( 輸 送 ) : 运 输 , 运 送                                        4.ゆうそう( 郵 送 ) : 邮 , 寄 , 邮 寄
問 題  2","(8)正解:4解析:请邮寄 一 下这个。
1. ほそう(繡 装 ) : 铺 路 , 铺 装                                    2. ほうそう(包 装 ) : 包 装
3 . ゆ そ う ( 輸 送 ) : 运 输 , 运 送                                        4.ゆうそう( 郵 送 ) : 邮 , 寄 , 邮 寄
問 題  2",1,8,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,9,9,ぁそこにいるのが私の <u>むすめ</u>です。,,,妹,嫁,婦,娘,4,"(9)正解:4解析:在那里的是我的女ル。
1.妹 ( い も と ) : 妹 妹                                                  2.嫁(よめ):妻,媳妇ル,新娘
3 . 婦 ( ふ ) : 妻 ; 女 人                                             4.娘 ( む す め )  : 女 ル","(9)正解:4解析:在那里的是我的女ル。
1.妹 ( い も と ) : 妹 妹                                                  2.嫁(よめ):妻,媳妇ル,新娘
3 . 婦 ( ふ ) : 妻 ; 女 人                                             4.娘 ( む す め )  : 女 ル",1,9,,Word人工校对,"word,manual-reviewed",0
n3-2021-12,N3 2021-12 模拟测验,N3,2021,12,vocabulary_grammar,文字・語彙・文法,,10,10,彼女は頭もいいし、<u>せいかく</u>もいい  。,,,性 格,正格,性 確,正確,1,"(10)正解:1解析:她又聪明,性格也好。
1.性 格 ( せ い か く ) : 性 格 , 脾 气                                      2.正 格 ( 世 い か く ) : 正 式 规 格
3.性 確 : 干 扰 项                                                    4.正 確 ( せ い か く )  : 正 确 , 准 确","(10)正解:1解析:她又聪明,性格也好。
1.性 格 ( せ い か く ) : 性 格 , 脾 气                                      2.正 格 ( 世 い か く ) : 正 式 规 格
3.性 確 : 干 扰 项                                                    4.正 確 ( せ い か く )  : 正 确 , 准 确",1,10,,Word人工校对,"word,manual-reviewed",0
